time_day,T_obs,DO_obs,Am_obs,BOD_obs,Plankton_obs,b_obs,k_obs
0,31,14.9,0.81,25.6,2283315,0.9,0.001642762
10,30.36666667,14.73333333,0.633333333,24.96666667,1967156,0.9,0.001629086
19.9,29.73966667,14.56833333,0.458433333,24.33966667,1654158.59,0.9,0.001615658
29.8,29.11266667,14.40333333,0.283533333,23.71266667,1341161.18,0.9,0.001602342
39.7,28.74433333,13.46233333,0.5322,23.603,1371631.393,0.8952625,0.00159457
49.6,28.38133333,12.50533333,0.7896,23.504,1409183.413,0.8866,0.001586948
59.5,28.01833333,11.54833333,1.047,23.405,1446735.433,0.85675,0.001579362
69.5,29.045,12.07,1.082166667,24.31833333,1560677.533,0.82175,0.001600911
79.5,30.145,12.67,1.1055,25.285,1678620.2,0.78675,0.001624326
89.5,31.245,13.27,1.128833333,26.25166667,1796562.867,0.729666667,0.001648083
99.5,31.015,11.97,0.902,23.45,1719313.15,0.636333333,0.001643087
109.5,30.715,10.57,0.662,20.45,1631790.15,0.4984375,0.001636593
119.5,30.415,9.17,0.422,17.45,1544267.15,0.338020833,0.001630125
129.5,30.78,9.131666667,0.508166667,20.40333333,1490610.067,0.293979167,0.001637998
139.5,31.18,9.165,0.6115,23.67,1438735.4,0.2615625,0.00164667
149.5,31.58,9.198333333,0.714833333,26.93666667,1386860.733,0.246979167,0.001655387
159.5,31.25166667,9.168333333,0.523666667,23.775,1436146.5,0.2354375,0.001648228
169.5,30.885,9.135,0.317,20.275,1490756.5,0.2266875,0.00164027
179.5,30.51833333,9.101666667,0.110333333,16.775,1545366.5,0.222645833,0.00163235
189.5,31.57666667,8.561666667,0.157,19.355,1438719.067,0.219729167,0.001655314
199.5,32.71,7.995,0.217,22.255,1323584.4,0.2168125,0.001680264
209.5,33.84333333,7.428333333,0.277,25.155,1208449.733,0.215,0.00170559
219.5,32.88666667,7.558333333,0.511166667,22.41833333,1310014.5,0.215,0.001684187
229.5,31.82,7.725,0.7545,19.385,1422984.5,0.215,0.00166064
239.5,30.75333333,7.891666667,0.997833333,16.35166667,1535954.5,0.215,0.001637422
249.5,30.19333333,7.71,0.940333333,16.32666667,1654472.5,0.212229167,0.001625363
259.4,29.66533333,7.512,0.867733333,16.45866667,1772094.4,0.209341667,0.001614074
269.3,29.13733333,7.314,0.795133333,16.59066667,1889716.3,0.206454167,0.001602864
279.2,29.16133333,6.901333333,1.1396,18.04133333,1837926.333,0.203566667,0.001603371
289.1,29.22733333,6.472333333,1.5158,19.59233333,1773246.333,0.200679167,0.001604769
299,29.29333333,6.043333333,1.892,21.14333333,1708566.333,0.2,0.001606168
308.9,28.11333333,6.445,1.461266667,19.787,1784204.92,0.2,0.001581344
318.8,26.79333333,6.94,0.939866667,18.104,1875609.64,0.2,0.001554029
328.7,25.47333333,7.435,0.418466667,16.421,1967014.36,0.2,0.001527186
338.6,25.35733333,7.901333333,0.421666667,18.46466667,1995104.733,0.2,0.00152485
348.5,25.42333333,8.363333333,0.504166667,21.07166667,2013624.333,0.2,0.001526179
358.4,25.48933333,8.825333333,0.586666667,23.67866667,2032143.933,0.2,0.001527509
